"Item","Description","Cost","Price"
"7309976","KIT, ENGINE COMP SEAL",619.79,1115.53
"7310195","CONDENSER AC",296.92,564.15
"7310205","KIT, PLUMBING POWER BOB-TACH",310.94,559.65
"7310385","AIR CONDITIONER",418.75,650.34
"7310665","KIT, POWER BOB-TACH",869.14,1564.33
"7310820","AIR RECIRCULATING FILTER",23.42,46.58
"7311134","HOSE AC ASSEMBLY",42.72,73.66
"7311256","KIT, MIRROR REAR",47.99,134.39
"7311544","SENSOR, PRESSURE HYD",35.91,100.56
"7311865","FITTING, GREASE",16.64,49.92
"7312251","TIRE, SOLID FLEX 33X6X11 LH",623.99,1123.18
"7312252","TIRE, SOLID FLEX 33X6X11",623.99,1123.18
"7312253","TIRE, SOLID FLEX 36X7X11 LH",735.36,1323.54
"7312254","TIRE, SOLID FLEX 36X7X11 RH",735.36,1323.54
"731284","BEARING",40.45,113.27
"7312928","MOTOR DRIVE",1739.92,2910.60
"7313306","AIR FILTER",20.13,30.81
"7313758","KIT, DEPTH CHECK",2813.10,4483.46
"7314341","ASSY, BOLT W/WASHER",8.36,27.17
"7314404","BLOCK, FILTER HYD",63.17,120.03
"7316227","KIT MAINTENANCE 1000/2000 HR",138.13,220.17
"7316520","VALVE, PROPORTIONAL",92.59,175.93
"7316521","ASSY, VALVE",153.98,277.16
"7316684","LOUVER, PLASTIC LH",18.27,59.37
"7316769","KIT, ROOF PREMIUM",415.75,748.29
"7318945","MOTOR, HYDRAULIC",662.46,1192.33
"7318986","CLAMP, BATTERY",20.17,56.48
"7318987","CLAMP, BATTERY",22.55,63.15
"7319078","FORMED HYDRAULIC HOSE",28.29,62.87
"7319365","HOSE, FUEL",54.58,103.71
"7319634","SADDLE, WIPER",10.53,34.22
"7319682","MOUNT, CABLE",2.07,10.12
"7319796","V BELT",23.99,53.31
"732-4-48A-25006","FORK",638.00,1148.31
"7320432","SEAL, SHAFT",21.89,61.30
"7320433","KIT, SEAL",45.46,127.30
"7320684","HOSE, HYD ASSY",53.12,117.19
"7321588","SENSOR, PRESSURE OIL",43.18,120.92
"7322233","HARNESS, MFR",1560.32,2438.00
"7322482","TOOTH BUCKET",5.18,8.63
"7322483","PIN TOOTH RETAINING",2.17,5.43
"7322705-6729900","TIRE, HEAVY DUTY 10X16.5 10 PLY",155.99,205.99
"7323273","PLATE NUT",10.59,47.66
"7323288","PLATE NUT",10.32,46.44
